Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-14 00:00:00+05:30,3792.7304474808634,3875.5716651495245,3777.609527508363,3855.260498046875,248411,0.0,0.0
2023-12-15 00:00:00+05:30,3864.5928235807014,3971.8372218743284,3819.5790028820616,3863.34521484375,421049,0.0,0.0
2023-12-18 00:00:00+05:30,3862.3969798761536,3907.510461889176,3834.949588381402,3874.3740234375,140390,0.0,0.0
2023-12-19 00:00:00+05:30,3874.2741573032104,3876.5698060775703,3818.531146022951,3860.00146484375,86789,0.0,0.0
2023-12-20 00:00:00+05:30,3873.5755953851235,3913.3991686850463,3691.9237638056097,3714.18115234375,215895,0.0,0.0
2023-12-21 00:00:00+05:30,3679.248128416939,3819.479350833821,3673.1597002945314,3736.73779296875,194924,0.0,0.0
2023-12-22 00:00:00+05:30,3754.803162521174,3809.6979455989685,3730.499647452756,3756.30029296875,174458,0.0,0.0
2023-12-26 00:00:00+05:30,3770.772592866775,3827.663550461642,3748.9145855760735,3790.584716796875,151623,0.0,0.0
2023-12-27 00:00:00+05:30,3812.6923594825207,3873.5756667936294,3763.7860962326145,3843.633056640625,194880,0.0,0.0
2023-12-28 00:00:00+05:30,3853.1648652521267,3861.399083106129,3808.700040105797,3833.203125,98788,0.0,0.0
2023-12-29 00:00:00+05:30,3844.631201732377,3876.5699863781288,3812.692417086625,3845.828857421875,85727,0.0,0.0
2024-01-01 00:00:00+05:30,3844.6309787807686,3876.020765010398,3824.7191926175924,3850.17041015625,70286,0.0,0.0
2024-01-02 00:00:00+05:30,3852.615800392691,3889.9441565332804,3803.959059390322,3849.471923828125,90311,0.0,0.0
2024-01-03 00:00:00+05:30,3857.207144961423,3874.573761414869,3827.8132876645773,3860.450927734375,74420,0.0,0.0
2024-01-04 00:00:00+05:30,3862.5966119876634,3875.422127148062,3772.369646479399,3788.937744140625,296664,0.0,0.0
2024-01-05 00:00:00+05:30,3792.680632126188,3822.5732889249084,3775.3639689478628,3815.337158203125,150782,0.0,0.0
2024-01-08 00:00:00+05:30,3817.732556874032,3820.6269115747978,3593.11303886264,3602.79443359375,637074,0.0,0.0
2024-01-09 00:00:00+05:30,3603.093926265956,3626.049926350199,3469.150704943914,3494.15283203125,726913,0.0,0.0
2024-01-10 00:00:00+05:30,3513.266151216339,3528.5868837486028,3454.478925871383,3484.37158203125,349077,0.0,0.0
2024-01-11 00:00:00+05:30,3513.2162398471983,3544.805839178129,3488.5135869281503,3524.644287109375,274714,0.0,0.0
2024-01-12 00:00:00+05:30,3558.180115874676,3558.180115874676,3515.312328430762,3528.087890625,235308,0.0,0.0
2024-01-15 00:00:00+05:30,3537.220185615089,3544.1568412511488,3501.688192375937,3529.43505859375,219075,0.0,0.0
2024-01-16 00:00:00+05:30,3518.25654000947,3535.2240183584518,3475.5383693137887,3483.073974609375,154577,0.0,0.0
